p,q,r,theta_1,theta_2,theta_3,theta_4
0.418103,-0.00259275,-0.00440412,0.411874,0,0.253874,0.185612
0.430198,-0.00270743,-0.00420398,0.411874,0,0.253107,0.185612
0.44318,-0.00142512,-0.0054345,0.411107,-0.000766754,0.253107,0.184845
0.456907,-0.000669242,-0.00557046,0.411107,-0.000766754,0.25234,0.184845
0.47083,-0.000663356,-0.00514577,0.41034,-0.00153351,0.25234,0.184078
0.484115,-0.000980773,-0.00514529,0.41034,-0.00230122,0.251573,0.184078
0.495959,-0.00160402,-0.00634679,0.409573,-0.00230122,0.250806,0.183311
0.507271,-0.0012914,-0.00651951,0.408806,-0.00306797,0.250806,0.183311
0.520491,-0.000753791,-0.00510506,0.408806,-0.00383472,0.250039,0.182544
0.53554,-0.000260689,-0.00490621,0.408039,-0.00383472,0.249272,0.181777
0.549642,0.0014075,-0.00467236,0.407272,-0.00460148,0.249272,0.181777
0.562567,0.00116999,-0.00451833,0.406505,-0.00536919,0.248505,0.18101
0.575324,0.000709101,-0.0039072,0.406505,-0.00536919,0.247738,0.180243
0.587054,-0.000879237,-0.00395903,0.405738,-0.00613594,0.247738,0.180243
0.599214,-0.00162154,-0.00415585,0.404971,-0.00690269,0.246971,0.179476
0.612138,-0.000989647,-0.00519621,0.404204,-0.00766945,0.246204,0.178709
0.62542,-0.000807316,-0.00571763,0.403437,-0.00843716,0.246204,0.178709
0.63793,-0.000552931,-0.00634218,0.40267,-0.00843716,0.245437,0.177942
0.650106,-0.00199338,-0.00485963,0.40267,-0.00920391,0.24467,0.177175
0.662582,-0.00282323,-0.00445679,0.401903,-0.00997066,0.243903,0.176408
0.673914,-0.00165217,-0.00449345,0.401136,-0.0107374,0.243136,0.175641
0.685268,-0.000795209,-0.00411538,0.400369,-0.0115051,0.243136,0.174874
0.698688,-0.00101047,-0.00345726,0.399602,-0.0122719,0.242369,0.174874
0.710732,-0.0021715,-0.00296259,0.398835,-0.0130386,0.241602,0.174107
0.722667,-0.00341721,-0.00213286,0.398068,-0.0138054,0.240835,0.17334
0.733857,-0.00446608,-0.00151687,0.397301,-0.0145731,0.240068,0.172573
0.743961,-0.00478952,-0.000547671,0.396534,-0.0153399,0.239301,0.171806
